id,scenarioName,targetMetric,predictedImpactPercentage,predictedCostSavings,predictedROI,confidenceLevel,timeToRealizeMonths,status
"1","Sim-1: Outsource Tier 1 Customer Support","Attrition Impact","22.67","-332854","34.60","83","22","Approved"
"2","Sim-2: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","24.81","1916857","17.77","87","12","Completed"
"3","Sim-3: Increase Base Salaries by 5% to combat Attrition","Revenue Impact","-0.20","1597444","13.82","72","12","Completed"
"4","Sim-4: Open New Engineering Hub in LATAM","Attrition Impact","22.24","-41409","-9.82","95","3","Approved"
"5","Sim-5: Outsource Tier 1 Customer Support","Operating Cost Impact","22.92","204212","2.71","89","18","Approved"
"6","Sim-6: Shift 20% Marketing Spend to Digital","Operating Cost Impact","5.96","561805","28.71","72","22","Draft"
"7","Sim-7: Outsource Tier 1 Customer Support","Productivity Impact","17.88","953918","-2.14","72","14","Approved"
"8","Sim-8: Mandate 3-Days in Office","Productivity Impact","17.98","1563008","-5.29","60","24","Completed"
"9","Sim-9: Implement 4-Day Work Week Trial globally","Attrition Impact","16.15","1040161","35.46","77","13","Completed"
"10","Sim-10: Open New Engineering Hub in LATAM","Operating Cost Impact","13.86","955672","-5.88","81","24","Completed"
"11","Sim-11: Increase Base Salaries by 5% to combat Attrition","Attrition Impact","-8.55","1045946","31.31","65","7","Completed"
"12","Sim-12: Shift 20% Marketing Spend to Digital","CSAT Impact","2.93","1646598","39.96","60","16","Rejected"
"13","Sim-13: Open New Engineering Hub in LATAM","CSAT Impact","-11.14","581216","19.54","68","20","Completed"
"14","Sim-14: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","-3.67","154789","22.22","83","10","Processing"
"15","Sim-15: Reduce APAC Headcount 5% & Increase R&D by 10%","CSAT Impact","2.82","-123681","40.88","86","11","Approved"
"16","Sim-16: Mandate 3-Days in Office","Productivity Impact","-9.81","994176","-4.95","61","9","Approved"
"17","Sim-17: Mandate 3-Days in Office","Attrition Impact","20.11","849956","30.05","79","16","Draft"
"18","Sim-18: Shift 20% Marketing Spend to Digital","Attrition Impact","6.00","1869471","0.11","83","14","Rejected"
"19","Sim-19: Reduce APAC Headcount 5% & Increase R&D by 10%","Operating Cost Impact","4.33","132753","19.93","70","24","Completed"
"20","Sim-20: Implement 4-Day Work Week Trial globally","Productivity Impact","-13.81","1278039","26.40","68","16","Rejected"
"21","Sim-21: Mandate 3-Days in Office","CSAT Impact","16.54","668494","31.99","98","24","Draft"
"22","Sim-22: Increase Base Salaries by 5% to combat Attrition","Revenue Impact","-13.64","426369","7.12","87","8","Approved"
"23","Sim-23: Open New Engineering Hub in LATAM","Operating Cost Impact","22.59","-376677","39.68","88","5","Rejected"
"24","Sim-24: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","14.59","696434","-7.65","85","6","Completed"
"25","Sim-25: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","11.25","781813","-1.75","80","1","Processing"
"26","Sim-26: Outsource Tier 1 Customer Support","Productivity Impact","15.80","351349","-2.06","80","7","Completed"
"27","Sim-27: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","-9.14","1468139","36.76","85","1","Processing"
"28","Sim-28: Increase Base Salaries by 5% to combat Attrition","Operating Cost Impact","-6.75","1170197","29.29","80","9","Completed"
"29","Sim-29: Implement 4-Day Work Week Trial globally","Attrition Impact","10.15","1202732","4.05","76","18","Processing"
"30","Sim-30: Shift 20% Marketing Spend to Digital","Productivity Impact","-12.89","1066130","12.25","75","10","Rejected"
"31","Sim-31: Open New Engineering Hub in LATAM","Productivity Impact","-11.72","-444904","36.84","80","14","Draft"
"32","Sim-32: Increase Base Salaries by 5% to combat Attrition","CSAT Impact","10.12","807487","36.30","80","13","Draft"
"33","Sim-33: Outsource Tier 1 Customer Support","Operating Cost Impact","10.39","612444","7.56","73","2","Approved"
"34","Sim-34: Open New Engineering Hub in LATAM","CSAT Impact","20.39","1371511","6.53","66","10","Approved"
"35","Sim-35: Open New Engineering Hub in LATAM","Revenue Impact","4.44","291632","14.22","76","19","Approved"
"36","Sim-36: Implement 4-Day Work Week Trial globally","CSAT Impact","-1.03","723741","39.19","64","3","Rejected"
"37","Sim-37: Open New Engineering Hub in LATAM","Productivity Impact","-11.25","1744432","-7.34","70","13","Approved"
"38","Sim-38: Increase Base Salaries by 5% to combat Attrition","Productivity Impact","6.40","1006939","27.74","81","14","Rejected"
"39","Sim-39: Increase Base Salaries by 5% to combat Attrition","Revenue Impact","-3.72","1504669","38.13","69","15","Rejected"
"40","Sim-40: Shift 20% Marketing Spend to Digital","Productivity Impact","-2.23","-218718","-0.76","93","7","Draft"
"41","Sim-41: Mandate 3-Days in Office","Productivity Impact","-2.09","520694","22.26","99","9","Draft"
"42","Sim-42: Open New Engineering Hub in LATAM","Revenue Impact","4.21","576404","4.78","67","14","Completed"
"43","Sim-43: Outsource Tier 1 Customer Support","Productivity Impact","24.49","1031799","-6.27","97","2","Draft"
"44","Sim-44: Implement 4-Day Work Week Trial globally","Productivity Impact","-4.69","1142806","-7.82","69","16","Draft"
"45","Sim-45: Outsource Tier 1 Customer Support","Revenue Impact","-12.06","-376924","43.86","65","3","Completed"
"46","Sim-46: Outsource Tier 1 Customer Support","Productivity Impact","-7.40","1159172","7.31","86","14","Rejected"
"47","Sim-47: Outsource Tier 1 Customer Support","CSAT Impact","23.96","1021600","35.70","80","12","Approved"
"48","Sim-48: Shift 20% Marketing Spend to Digital","Revenue Impact","-7.17","504091","8.16","99","13","Rejected"
"49","Sim-49: Open New Engineering Hub in LATAM","Productivity Impact","2.93","971998","26.24","61","22","Completed"
"50","Sim-50: Increase Base Salaries by 5% to combat Attrition","Productivity Impact","-11.72","-24420","-1.88","92","16","Approved"
"51","Sim-51: Shift 20% Marketing Spend to Digital","CSAT Impact","23.88","1906104","5.26","69","16","Rejected"
"52","Sim-52: Mandate 3-Days in Office","Operating Cost Impact","18.83","1363334","18.09","60","9","Approved"
"53","Sim-53: Open New Engineering Hub in LATAM","Attrition Impact","-3.70","878761","41.62","61","5","Processing"
"54","Sim-54: Shift 20% Marketing Spend to Digital","Productivity Impact","-11.53","679313","13.09","98","4","Rejected"
"55","Sim-55: Increase Base Salaries by 5% to combat Attrition","Productivity Impact","-2.09","1365177","11.32","63","9","Rejected"
"56","Sim-56: Outsource Tier 1 Customer Support","Operating Cost Impact","3.99","1261762","30.86","98","3","Rejected"
"57","Sim-57: Mandate 3-Days in Office","Attrition Impact","-10.08","1032699","-2.44","67","11","Draft"
"58","Sim-58: Implement 4-Day Work Week Trial globally","Productivity Impact","20.19","667706","-1.33","62","14","Approved"
"59","Sim-59: Outsource Tier 1 Customer Support","Productivity Impact","16.14","934162","23.83","78","7","Processing"
"60","Sim-60: Implement 4-Day Work Week Trial globally","Revenue Impact","15.55","1278553","41.05","93","2","Processing"
"61","Sim-61: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","-14.53","642803","16.97","60","21","Approved"
"62","Sim-62: Increase Base Salaries by 5% to combat Attrition","Operating Cost Impact","-13.35","314162","11.86","83","5","Processing"
"63","Sim-63: Implement 4-Day Work Week Trial globally","Productivity Impact","14.78","1638250","37.97","66","5","Completed"
"64","Sim-64: Shift 20% Marketing Spend to Digital","CSAT Impact","-5.10","1749701","28.05","66","11","Completed"
"65","Sim-65: Implement 4-Day Work Week Trial globally","Operating Cost Impact","24.09","-177118","8.60","90","2","Draft"
"66","Sim-66: Increase Base Salaries by 5% to combat Attrition","Attrition Impact","-11.39","945162","-1.41","60","2","Rejected"
"67","Sim-67: Open New Engineering Hub in LATAM","Revenue Impact","4.66","1983411","6.96","99","3","Completed"
"68","Sim-68: Reduce APAC Headcount 5% & Increase R&D by 10%","Productivity Impact","-7.11","262296","-6.98","68","11","Processing"
"69","Sim-69: Increase Base Salaries by 5% to combat Attrition","Revenue Impact","-6.39","1195028","-0.74","81","5","Draft"
"70","Sim-70: Implement 4-Day Work Week Trial globally","Attrition Impact","17.72","227416","30.53","75","24","Completed"
"71","Sim-71: Mandate 3-Days in Office","Revenue Impact","23.84","105146","41.63","91","2","Approved"
"72","Sim-72: Open New Engineering Hub in LATAM","Operating Cost Impact","12.66","1101031","6.56","97","12","Completed"
"73","Sim-73: Implement 4-Day Work Week Trial globally","Operating Cost Impact","16.59","-428361","23.83","65","9","Rejected"
"74","Sim-74: Open New Engineering Hub in LATAM","Revenue Impact","-9.43","1615025","44.75","60","24","Rejected"
"75","Sim-75: Open New Engineering Hub in LATAM","Attrition Impact","-11.55","673850","28.76","82","6","Rejected"
"76","Sim-76: Outsource Tier 1 Customer Support","CSAT Impact","-4.86","-493826","44.16","82","21","Rejected"
"77","Sim-77: Outsource Tier 1 Customer Support","Operating Cost Impact","0.38","-35270","-0.42","65","9","Draft"
"78","Sim-78: Increase Base Salaries by 5% to combat Attrition","Revenue Impact","9.55","1729373","32.29","89","15","Draft"
"79","Sim-79: Mandate 3-Days in Office","Operating Cost Impact","6.76","1274422","5.86","85","24","Draft"
"80","Sim-80: Shift 20% Marketing Spend to Digital","Productivity Impact","0.64","748101","10.69","88","23","Completed"
"81","Sim-81: Increase Base Salaries by 5% to combat Attrition","CSAT Impact","-8.91","-258314","8.52","72","19","Approved"
"82","Sim-82: Mandate 3-Days in Office","CSAT Impact","23.59","1589383","29.26","86","14","Rejected"
"83","Sim-83: Reduce APAC Headcount 5% & Increase R&D by 10%","CSAT Impact","20.00","1595682","7.77","70","21","Rejected"
"84","Sim-84: Reduce APAC Headcount 5% & Increase R&D by 10%","CSAT Impact","6.06","-261651","24.85","77","17","Approved"
"85","Sim-85: Shift 20% Marketing Spend to Digital","Revenue Impact","12.42","223028","24.43","92","18","Processing"
"86","Sim-86: Increase Base Salaries by 5% to combat Attrition","Productivity Impact","-5.81","1103374","7.54","70","5","Completed"
"87","Sim-87: Increase Base Salaries by 5% to combat Attrition","Revenue Impact","10.37","1047480","44.34","71","17","Processing"
